,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002276.SZ,2023-12-29,10.04,10.22,9.99,10.22,10.02,0.2,1.996,98384.38,99974.925
1,603583.SH,2023-12-29,19.8,20.15,19.7,20.03,19.83,0.2,1.0086,36258.0,72553.459
2,300447.SZ,2023-12-29,14.16,14.51,14.13,14.5,14.21,0.29,2.0408,27432.84,39478.857
3,601886.SH,2023-12-29,6.45,6.68,6.45,6.66,6.51,0.15,2.3041,79960.71,52827.192
4,603682.SH,2023-12-29,5.73,5.77,5.68,5.74,5.72,0.02,0.3497,69734.0,39897.424
5,300829.SZ,2023-12-29,20.79,20.91,20.63,20.88,20.69,0.19,0.9183,7142.0,14853.52
6,001236.SZ,2023-12-29,11.14,11.26,11.11,11.18,11.19,-0.01,-0.0894,73363.32,82069.738
7,002560.SZ,2023-12-29,7.13,7.23,7.11,7.22,7.13,0.09,1.2623,58073.82,41822.802
8,603579.SH,2023-12-29,20.61,20.94,20.61,20.83,20.74,0.09,0.4339,10119.58,21041.368
9,300998.SZ,2023-12-29,22.87,23.2,22.4,23.08,22.68,0.4,1.7637,14041.0,32316.875
10,300730.SZ,2023-12-29,13.19,13.65,13.15,13.6,13.28,0.32,2.4096,100365.87,135445.588
11,605266.SH,2023-12-29,58.21,60.09,57.38,59.4,58.76,0.64,1.0892,10009.08,58999.856
12,002531.SZ,2023-12-29,11.39,11.65,11.31,11.6,11.4,0.2,1.7544,201072.9,232416.991
13,600628.SH,2023-12-29,6.95,7.04,6.95,7.01,6.98,0.03,0.4298,33960.0,23771.908
14,605288.SH,2023-12-29,46.78,47.52,46.38,47.12,47.15,-0.03,-0.0636,8559.36,40249.901
15,600130.SH,2023-12-29,4.71,4.82,4.67,4.81,4.72,0.09,1.9068,143961.81,68869.216
16,002865.SZ,2023-12-29,77.01,79.66,76.75,77.48,74.51,2.97,3.986,294647.4,2298325.803
17,002943.SZ,2023-12-29,27.9,28.27,27.47,27.97,27.7,0.27,0.9747,33297.1,92706.645
18,601929.SH,2023-12-29,1.78,1.83,1.78,1.82,1.79,0.03,1.676,1224477.23,221537.101
19,688083.SH,2023-12-29,95.65,100.69,94.88,99.54,95.66,3.88,4.056,10781.7,106666.355
20,605055.SH,2023-12-29,6.96,7.17,6.94,7.15,6.96,0.19,2.7299,34991.0,24818.97
21,000546.SZ,2023-12-29,8.38,8.54,8.35,8.45,8.48,-0.03,-0.3538,418547.83,353270.565
22,600300.SH,2023-12-29,3.09,3.12,3.09,3.11,3.1,0.01,0.3226,120971.0,37547.773
23,603030.SH,2023-12-29,2.81,2.81,2.75,2.81,2.68,0.13,4.8507,168169.03,47139.623
24,002262.SZ,2023-12-29,26.36,27.25,26.3,27.12,26.37,0.75,2.8441,53795.61,145302.534
25,002860.SZ,2023-12-29,12.75,12.96,12.63,12.95,12.74,0.21,1.6484,55776.2,71567.409
26,600192.SH,2023-12-29,6.11,6.33,6.11,6.19,6.2,-0.01,-0.1613,303952.8,189106.254
27,002605.SZ,2023-12-29,21.2,22.5,21.17,22.22,21.45,0.77,3.5897,209434.03,461800.15
28,605377.SH,2023-12-29,18.69,19.18,18.51,19.09,18.68,0.41,2.1949,15697.4,29759.979
29,002714.SZ,2023-12-29,40.8,41.66,40.6,41.18,40.78,0.4,0.9809,210171.05,862967.866
30,603178.SH,2023-12-29,45.68,47.0,45.31,46.35,46.32,0.03,0.0648,231443.0,1065457.234
31,002836.SZ,2023-12-29,8.62,8.79,8.61,8.75,8.63,0.12,1.3905,19360.48,16913.099
32,002537.SZ,2023-12-29,6.62,6.69,6.6,6.66,6.64,0.02,0.3012,118453.89,78868.068
33,838163.BJ,2023-12-29,8.66,9.18,8.4,9.18,8.49,0.69,8.1272,43070.22,38027.138
34,300856.SZ,2023-12-29,60.99,62.43,60.76,62.23,61.5,0.73,1.187,14066.3,86701.487
35,603567.SH,2023-12-29,12.1,12.2,12.06,12.16,12.14,0.02,0.1647,54889.84,66703.099
36,603868.SH,2023-12-29,50.44,51.37,50.3,50.5,50.63,-0.13,-0.2568,6543.97,33314.281
37,603628.SH,2023-12-29,21.0,21.0,20.42,21.0,19.09,1.91,10.0052,355112.44,745128.877
38,301228.SZ,2023-12-29,16.53,16.73,16.5,16.58,16.53,0.05,0.3025,10589.92,17582.19
39,002568.SZ,2023-12-29,24.77,24.77,23.53,24.61,24.75,-0.14,-0.5657,153905.67,371093.688
40,300895.SZ,2023-12-29,32.36,33.21,32.2,33.06,32.5,0.56,1.7231,30141.09,99153.079
41,600572.SH,2023-12-29,4.99,5.07,4.98,5.05,5.02,0.03,0.5976,389100.56,195867.874
42,603171.SH,2023-12-29,33.38,35.7,33.38,35.38,33.54,1.84,5.486,33308.24,116947.167
43,600348.SH,2023-12-29,9.78,9.83,9.64,9.76,9.71,0.05,0.5149,460651.12,448582.424
44,831370.BJ,2023-12-29,3.39,3.55,3.34,3.48,3.38,0.1,2.9586,97644.86,33740.04
45,688026.SH,2023-12-29,17.11,17.29,17.0,17.24,17.07,0.17,0.9959,7284.46,12538.279
46,002972.SZ,2023-12-29,12.77,13.18,12.66,12.93,12.79,0.14,1.0946,102208.6,131981.4
47,300966.SZ,2023-12-29,22.53,23.05,22.53,22.97,22.52,0.45,1.9982,10885.2,24910.071
48,300693.SZ,2023-12-29,30.42,30.72,29.71,29.91,30.27,-0.36,-1.1893,206399.86,619522.391
49,002083.SZ,2023-12-29,4.96,5.05,4.94,5.04,4.97,0.07,1.4085,101665.0,50828.654
50,603059.SH,2023-12-29,22.23,22.66,22.13,22.56,22.29,0.27,1.2113,6056.0,13599.067
51,603676.SH,2023-12-29,10.35,10.43,10.28,10.43,10.32,0.11,1.0659,18313.48,19002.041
52,300427.SZ,2023-12-29,6.79,6.86,6.66,6.7,6.83,-0.13,-1.9034,39468.0,26611.712
53,300142.SZ,2023-12-29,22.84,23.99,22.81,23.51,22.78,0.73,3.2046,260561.11,611676.064
54,300223.SZ,2023-12-29,64.32,65.19,64.2,64.65,64.46,0.19,0.2948,50012.51,323138.218
55,688697.SH,2023-12-29,18.38,18.91,18.28,18.83,18.41,0.42,2.2814,27182.44,50638.446
56,600507.SH,2023-12-29,4.61,4.64,4.6,4.61,4.62,-0.01,-0.2165,70108.78,32415.726
57,601319.SH,2023-12-29,4.84,4.87,4.82,4.84,4.84,0.0,0.0,440159.05,212952.942
58,600172.SH,2023-12-29,3.74,3.77,3.72,3.74,3.74,0.0,0.0,209592.04,78383.378
59,600775.SH,2023-12-29,12.7,13.5,12.58,13.25,12.8,0.45,3.5156,1238643.29,1618763.115
60,603007.SH,2023-12-29,5.25,5.47,5.21,5.47,5.21,0.26,4.9904,130097.58,69942.539
61,605337.SH,2023-12-29,13.88,14.24,13.88,14.09,13.88,0.21,1.513,32898.37,46473.199
62,600917.SH,2023-12-29,6.42,6.44,6.37,6.44,6.43,0.01,0.1555,32875.12,21064.807
63,000620.SZ,2023-12-29,1.89,1.92,1.85,1.89,1.9,-0.01,-0.5263,423057.4,79680.475
64,300939.SZ,2023-12-29,35.65,38.17,35.5,37.88,35.77,2.11,5.8988,61451.1,228731.325
65,002042.SZ,2023-12-29,4.27,4.32,4.17,4.3,4.24,0.06,1.4151,410182.15,174497.781
66,832662.BJ,2023-12-29,17.2,19.0,17.09,18.1,17.24,0.86,4.9884,52746.75,94754.477
67,603906.SH,2023-12-29,12.37,12.56,12.36,12.46,12.37,0.09,0.7276,122301.85,152250.907
68,300948.SZ,2023-12-29,14.29,14.48,14.29,14.41,14.33,0.08,0.5583,11427.0,16456.167
69,600059.SH,2023-12-29,9.27,9.34,9.25,9.3,9.28,0.02,0.2155,65659.83,61052.474
70,603806.SH,2023-12-29,25.19,25.19,24.0,24.27,24.52,-0.25,-1.0196,292163.35,713288.953
71,000757.SZ,2023-12-29,4.75,4.84,4.72,4.8,4.75,0.05,1.0526,85792.0,41140.3
72,600391.SH,2023-12-29,18.57,19.16,18.5,19.12,18.64,0.48,2.5751,43061.46,81628.856
73,002677.SZ,2023-12-29,9.91,10.14,9.88,10.11,9.91,0.2,2.0182,26206.27,26287.911
74,002244.SZ,2023-12-29,7.33,7.39,7.19,7.27,7.33,-0.06,-0.8186,174049.13,126469.51
75,000799.SZ,2023-12-29,73.61,74.57,72.63,73.15,73.84,-0.69,-0.9345,88953.13,653107.964
76,688573.SH,2023-12-29,28.39,30.57,28.32,29.8,28.48,1.32,4.6348,18901.19,56043.059
77,603501.SH,2023-12-29,109.03,109.6,106.26,106.71,108.85,-2.14,-1.966,97504.62,1048903.464
78,002402.SZ,2023-12-29,14.11,14.3,14.07,14.29,14.12,0.17,1.204,92471.52,131719.979
79,603266.SH,2023-12-29,28.6,29.78,28.45,28.74,30.22,-1.48,-4.8974,168051.96,487795.719
80,600276.SH,2023-12-29,44.88,45.4,44.65,45.23,44.75,0.48,1.0726,242380.46,1094134.425
81,002357.SZ,2023-12-29,7.37,7.62,7.33,7.55,7.39,0.16,2.1651,78368.0,58753.393
82,300840.SZ,2023-12-29,19.52,20.08,19.39,19.91,19.52,0.39,1.998,32425.0,64638.946
83,002295.SZ,2023-12-29,7.99,8.2,7.97,8.17,7.97,0.2,2.5094,54304.5,44183.974
84,603986.SH,2023-12-29,92.3,93.5,91.88,92.39,92.5,-0.11,-0.1189,85480.55,791516.287
85,000576.SZ,2023-12-29,9.19,9.32,9.18,9.3,9.21,0.09,0.9772,28338.94,26281.499
86,300702.SZ,2023-12-29,21.89,21.89,21.62,21.71,21.82,-0.11,-0.5041,18516.11,40190.95
87,603239.SH,2023-12-29,15.04,15.3,14.86,15.27,14.95,0.32,2.1405,28120.0,42678.812
88,601068.SH,2023-12-29,4.55,4.63,4.55,4.62,4.57,0.05,1.0941,50925.0,23431.667
89,603150.SH,2023-12-29,28.7,29.28,28.49,29.05,28.6,0.45,1.5734,11709.44,34001.851
90,688091.SH,2023-12-29,61.88,65.5,61.58,64.0,61.5,2.5,4.065,12954.38,82522.713
91,603309.SH,2023-12-29,13.95,14.43,13.88,14.23,13.91,0.32,2.3005,29954.28,42578.156
92,600713.SH,2023-12-29,4.81,4.87,4.81,4.84,4.82,0.02,0.4149,106547.01,51555.39
93,001979.SZ,2023-12-29,9.49,9.57,9.36,9.53,9.5,0.03,0.3158,342417.7,324396.71
94,300454.SZ,2023-12-29,72.86,73.08,71.65,72.29,72.62,-0.33,-0.4544,39153.86,282868.591
95,300920.SZ,2023-12-29,20.62,21.08,20.5,21.05,20.58,0.47,2.2838,10925.0,22836.296
96,001255.SZ,2023-12-29,36.79,36.97,35.6,36.3,37.35,-1.05,-2.8112,37760.03,136448.742
97,600724.SH,2023-12-29,3.97,4.01,3.92,3.97,3.98,-0.01,-0.2513,93334.0,36980.865
98,603193.SH,2023-12-29,17.97,18.37,17.81,18.18,18.06,0.12,0.6645,101668.31,184150.808
99,430564.BJ,2023-12-29,14.33,15.9,14.24,15.1,14.31,0.79,5.5206,68929.14,104427.179
100,002822.SZ,2023-12-29,4.37,4.41,4.34,4.38,4.37,0.01,0.2288,78452.2,34315.151
101,835184.BJ,2023-12-29,8.41,9.1,8.36,8.98,8.48,0.5,5.8962,86104.93,76551.461
102,603508.SH,2023-12-29,15.3,15.72,15.17,15.7,15.34,0.36,2.3468,20543.72,31878.684
103,600220.SH,2023-12-29,1.95,1.99,1.94,1.99,1.95,0.04,2.0513,133798.01,26423.829
104,300698.SZ,2023-12-29,34.38,36.78,33.99,36.5,34.07,2.43,7.1324,38473.0,138494.478
105,301222.SZ,2023-12-29,29.25,29.78,29.03,29.73,29.32,0.41,1.3984,10677.46,31576.023
106,002907.SZ,2023-12-29,15.4,15.56,15.28,15.45,15.27,0.18,1.1788,21042.1,32481.794
107,002069.SZ,2023-12-29,4.36,4.55,4.35,4.49,4.38,0.11,2.5114,114362.0,51154.282
108,688201.SH,2023-12-29,19.47,19.88,19.47,19.68,19.55,0.13,0.665,19235.69,37766.971
109,002847.SZ,2023-12-29,66.68,70.5,66.18,69.48,67.0,2.48,3.7015,19171.3,132247.954
110,600546.SH,2023-12-29,17.32,17.52,17.2,17.51,17.32,0.19,1.097,206635.44,358851.056
111,002849.SZ,2023-12-29,18.35,18.82,18.31,18.66,18.34,0.32,1.7448,47241.3,88120.495
112,600613.SH,2023-12-29,7.51,7.61,7.48,7.61,7.5,0.11,1.4667,63423.0,47974.304
113,600722.SH,2023-12-29,4.95,5.01,4.93,4.99,4.96,0.03,0.6048,57072.0,28390.842
114,301207.SZ,2023-12-29,27.6,27.94,27.51,27.8,27.56,0.24,0.8708,29821.45,82596.188
115,300887.SZ,2023-12-29,12.1,12.22,11.73,11.81,12.04,-0.23,-1.9103,112530.88,134124.827
116,002666.SZ,2023-12-29,5.33,5.49,5.25,5.4,5.39,0.01,0.1855,489083.04,263004.543
117,603637.SH,2023-12-29,8.82,9.01,8.82,9.0,8.85,0.15,1.6949,23053.0,20653.661
118,002996.SZ,2023-12-29,10.73,10.93,10.73,10.92,10.77,0.15,1.3928,20392.0,22109.666
119,600705.SH,2023-12-29,3.11,3.14,3.1,3.11,3.12,-0.01,-0.3205,342641.29,106948.992
120,600774.SH,2023-12-29,9.56,9.89,9.54,9.86,9.6,0.26,2.7083,21079.0,20563.004
121,002390.SZ,2023-12-29,4.42,4.46,4.4,4.44,4.42,0.02,0.4525,225860.65,100108.328
122,300545.SZ,2023-12-29,33.4,35.88,33.35,34.55,33.35,1.2,3.5982,161566.36,559742.975
123,603580.SH,2023-12-29,14.51,15.03,14.28,14.89,14.54,0.35,2.4072,23279.16,34445.847
124,300997.SZ,2023-12-29,13.9,14.04,13.81,13.97,13.92,0.05,0.3592,15932.49,22244.773
125,605189.SH,2023-12-29,16.19,16.45,15.95,16.2,16.19,0.01,0.0618,13796.11,22325.24
126,002365.SZ,2023-12-29,9.66,9.78,9.63,9.78,9.63,0.15,1.5576,24749.0,24041.998
127,003010.SZ,2023-12-29,19.35,20.6,19.16,20.26,19.26,1.0,5.1921,63386.0,126321.433
128,688096.SH,2023-12-29,9.13,9.38,9.13,9.37,9.18,0.19,2.0697,13067.94,12137.061
129,834765.BJ,2023-12-29,8.91,9.29,8.86,9.19,9.0,0.19,2.1111,11167.02,10145.071
130,600378.SH,2023-12-29,29.69,30.79,29.65,30.48,29.64,0.84,2.834,24572.23,74759.285
131,300433.SZ,2023-12-29,12.8,13.38,12.76,13.2,12.79,0.41,3.2056,353701.88,466130.895
132,688189.SH,2023-12-29,9.39,9.5,9.31,9.43,9.35,0.08,0.8556,20985.69,19792.648
133,600999.SH,2023-12-29,13.64,13.7,13.58,13.64,13.66,-0.02,-0.1464,145020.5,197681.47
134,873693.BJ,2023-12-29,42.06,42.98,41.01,41.54,41.5,0.04,0.0964,14218.37,59524.049
135,002798.SZ,2023-12-29,6.64,6.64,6.48,6.55,6.58,-0.03,-0.4559,31281.0,20448.799
136,603177.SH,2023-12-29,11.63,11.83,11.52,11.82,11.63,0.19,1.6337,17590.0,20523.632
137,601366.SH,2023-12-29,5.48,5.49,5.42,5.46,5.47,-0.01,-0.1828,39538.0,21591.364
138,605365.SH,2023-12-29,17.78,18.64,17.73,18.61,17.8,0.81,4.5506,36362.16,66767.243
139,301509.SZ,2023-12-29,62.77,63.48,62.77,63.14,63.1,0.04,0.0634,9948.33,62761.419
140,600377.SH,2023-12-29,10.29,10.34,10.16,10.25,10.34,-0.09,-0.8704,74668.0,76474.635
141,600481.SH,2023-12-29,8.51,8.57,8.4,8.46,8.53,-0.07,-0.8206,251634.47,213319.573
142,002689.SZ,2023-12-29,4.33,4.48,4.29,4.45,4.34,0.11,2.5346,122192.9,53979.612
143,600505.SH,2023-12-29,8.03,8.67,7.91,8.49,8.02,0.47,5.8603,188680.82,157532.442
144,300175.SZ,2023-12-29,5.62,6.02,5.59,6.0,5.6,0.4,7.1429,227740.0,133855.486
145,688676.SH,2023-12-29,35.76,36.2,35.46,35.83,35.95,-0.12,-0.3338,23851.57,85370.059
146,300451.SZ,2023-12-29,6.5,6.63,6.48,6.55,6.51,0.04,0.6144,164027.75,107423.387
147,003027.SZ,2023-12-29,17.99,18.33,17.74,18.26,17.98,0.28,1.5573,15396.5,27921.519
148,300697.SZ,2023-12-29,12.69,13.03,12.53,12.92,12.72,0.2,1.5723,70972.0,91218.867
149,301439.SZ,2023-12-29,14.55,14.67,14.54,14.62,14.61,0.01,0.0684,17291.92,25281.925
150,688336.SH,2023-12-29,22.08,22.78,22.05,22.51,22.1,0.41,1.8552,28264.5,63747.587
151,000056.SZ,2023-12-29,3.62,3.75,3.62,3.7,3.67,0.03,0.8174,600607.0,222778.206
152,688390.SH,2023-12-29,134.99,136.0,128.0,130.58,136.63,-6.05,-4.428,74650.16,979240.212
153,000061.SZ,2023-12-29,6.46,6.49,6.42,6.47,6.46,0.01,0.1548,50593.91,32669.7
154,002921.SZ,2023-12-29,16.07,16.41,15.9,16.37,16.05,0.32,1.9938,27908.3,45302.481
155,301158.SZ,2023-12-29,16.11,16.12,15.95,16.09,15.95,0.14,0.8777,13753.79,22067.352
156,833454.BJ,2023-12-29,8.58,8.95,8.43,8.8,8.5,0.3,3.5294,44537.86,39053.202
157,603848.SH,2023-12-29,15.48,15.62,15.41,15.48,15.53,-0.05,-0.322,8346.0,12934.988
158,603322.SH,2023-12-29,35.9,38.28,35.5,37.71,35.48,2.23,6.2852,74340.4,276678.691
159,603900.SH,2023-12-29,6.55,6.71,6.53,6.68,6.58,0.1,1.5198,31021.0,20659.596
160,603777.SH,2023-12-29,13.37,13.49,13.3,13.42,13.41,0.01,0.0746,31239.69,41856.036
161,600793.SH,2023-12-29,11.48,11.66,11.43,11.62,11.48,0.14,1.2195,25850.34,29964.387
162,000426.SZ,2023-12-29,8.9,9.18,8.85,9.08,8.95,0.13,1.4525,208149.96,188494.346
163,688320.SH,2023-12-29,39.77,41.17,39.31,41.0,39.59,1.41,3.5615,14121.2,57198.309
164,688636.SH,2023-12-29,66.99,66.99,64.93,65.2,66.17,-0.97,-1.4659,9177.21,60211.225
165,002144.SZ,2023-12-29,11.47,11.62,11.44,11.62,11.46,0.16,1.3962,21942.4,25377.081
166,301237.SZ,2023-12-29,29.96,31.88,29.94,30.47,29.78,0.69,2.317,8848.61,27058.289
167,600976.SH,2023-12-29,64.5,65.88,64.2,65.25,64.5,0.75,1.1628,9414.08,61344.167
168,603282.SH,2023-12-29,25.78,25.94,25.7,25.84,25.79,0.05,0.1939,4257.56,11011.078
169,000017.SZ,2023-12-29,4.3,4.36,4.25,4.35,4.27,0.08,1.8735,39195.0,16933.88
170,837212.BJ,2023-12-29,10.01,13.14,9.81,13.14,10.11,3.03,29.9703,120922.06,143487.002
171,002772.SZ,2023-12-29,7.84,7.89,7.8,7.89,7.84,0.05,0.6378,32638.0,25609.878
172,688223.SH,2023-12-29,8.97,9.02,8.81,8.86,8.98,-0.12,-1.3363,579709.71,515626.222
173,600876.SH,2023-12-29,13.85,14.05,13.76,14.03,13.85,0.18,1.2996,27754.21,38725.486
174,001231.SZ,2023-12-29,20.85,20.95,20.73,20.83,20.84,-0.01,-0.048,7864.55,16404.378
175,300497.SZ,2023-12-29,9.12,9.47,9.04,9.36,9.06,0.3,3.3113,77065.0,71762.741
176,000635.SZ,2023-12-29,8.81,9.05,8.81,8.97,8.82,0.15,1.7007,34082.0,30495.235
177,002647.SZ,2023-12-29,6.82,7.18,6.81,6.93,6.81,0.12,1.7621,193771.0,134765.278
178,300116.SZ,2023-12-29,1.47,1.5,1.46,1.48,1.48,0.0,0.0,632325.55,93412.392
179,300768.SZ,2023-12-29,14.51,14.83,14.47,14.78,14.51,0.27,1.8608,25973.0,38104.977
180,300930.SZ,2023-12-29,24.3,24.3,23.1,23.92,23.42,0.5,2.1349,8133.0,19232.354
181,002681.SZ,2023-12-29,4.75,4.98,4.74,4.95,4.83,0.12,2.4845,385551.62,189175.612
182,003005.SZ,2023-12-29,30.25,31.17,30.25,30.95,30.41,0.54,1.7757,38884.4,120049.682
183,836419.BJ,2023-12-29,11.27,11.6,11.02,11.48,11.16,0.32,2.8674,31554.34,35523.586
184,603969.SH,2023-12-29,5.87,6.03,5.85,6.0,5.85,0.15,2.5641,181009.41,108187.434
185,002779.SZ,2023-12-29,22.9,24.87,22.8,24.87,22.61,2.26,9.9956,38336.51,94024.962
186,688015.SH,2023-12-29,18.51,18.85,18.2,18.76,18.31,0.45,2.4577,6805.09,12713.373
187,688778.SH,2023-12-29,40.64,40.82,39.5,39.64,40.52,-0.88,-2.1718,17730.41,71011.495
188,688183.SH,2023-12-29,10.95,11.4,10.79,11.37,10.95,0.42,3.8356,26984.85,30307.564
189,600221.SH,2023-12-29,1.37,1.37,1.36,1.37,1.37,0.0,0.0,401596.38,54877.305
190,002181.SZ,2023-12-29,4.55,4.65,4.5,4.6,4.52,0.08,1.7699,174623.31,80439.483
191,002346.SZ,2023-12-29,11.13,11.2,11.08,11.15,11.1,0.05,0.4505,13514.0,15061.182
192,000967.SZ,2023-12-29,4.75,4.77,4.73,4.75,4.76,-0.01,-0.2101,72712.21,34540.911
193,300843.SZ,2023-12-29,22.24,22.98,21.83,22.98,22.18,0.8,3.6069,15933.0,36196.995
194,300455.SZ,2023-12-29,11.67,11.98,11.62,11.94,11.66,0.28,2.4014,93232.2,110431.297
195,002910.SZ,2023-12-29,10.88,10.98,10.83,10.94,10.9,0.04,0.367,26335.21,28721.363
196,002973.SZ,2023-12-29,10.88,10.98,10.8,10.97,10.89,0.08,0.7346,15094.0,16448.203
197,600776.SH,2023-12-29,11.18,11.32,11.17,11.29,11.16,0.13,1.1649,66377.83,74857.637
198,603698.SH,2023-12-29,14.1,14.38,14.03,14.37,14.07,0.3,2.1322,19639.58,27975.193
199,603810.SH,2023-12-29,13.41,13.48,13.2,13.37,13.35,0.02,0.1498,25055.08,33372.969
200,839792.BJ,2023-12-29,7.98,8.2,7.81,8.1,7.93,0.17,2.1438,25538.69,20585.203
201,002330.SZ,2023-12-29,5.59,5.63,5.54,5.56,5.6,-0.04,-0.7143,127147.0,70907.175
202,688448.SH,2023-12-29,37.49,39.28,37.3,38.83,37.62,1.21,3.2164,8861.87,34287.093
203,834407.BJ,2023-12-29,13.8,14.26,13.68,13.94,13.89,0.05,0.36,18153.31,25409.917
204,000883.SZ,2023-12-29,4.25,4.26,4.23,4.23,4.27,-0.04,-0.9368,169672.02,71974.986
205,603500.SH,2023-12-29,11.89,12.25,11.74,12.25,11.87,0.38,3.2013,30273.4,36546.27
206,300881.SZ,2023-12-29,24.99,25.68,24.7,25.58,24.99,0.59,2.3609,13330.6,33752.992
207,002300.SZ,2023-12-29,8.47,8.54,8.35,8.5,8.45,0.05,0.5917,203404.19,171943.472
208,601388.SH,2023-12-29,2.59,2.62,2.57,2.62,2.58,0.04,1.5504,145444.76,37882.328
209,600989.SH,2023-12-29,14.51,14.84,14.5,14.77,14.51,0.26,1.7919,151822.93,223727.39
210,301363.SZ,2023-12-29,35.14,37.28,34.95,36.8,35.35,1.45,4.1018,26996.29,97680.724
211,688207.SH,2023-12-29,20.24,21.09,20.15,20.96,20.26,0.7,3.4551,63649.62,132460.537
212,830879.BJ,2023-12-29,11.06,11.88,11.02,11.62,11.16,0.46,4.1219,26314.14,30365.04
213,300505.SZ,2023-12-29,16.35,17.43,16.2,16.75,16.59,0.16,0.9644,282910.28,471693.015
214,300625.SZ,2023-12-29,14.19,14.82,14.14,14.82,14.21,0.61,4.2928,28517.0,41789.672
215,600997.SH,2023-12-29,7.57,7.69,7.39,7.63,7.62,0.01,0.1312,70199.05,53433.123
216,001296.SZ,2023-12-29,23.6,23.66,23.18,23.53,23.14,0.39,1.6854,16514.9,38732.781
217,002292.SZ,2023-12-29,8.28,8.8,8.28,8.75,8.33,0.42,5.042,1415871.24,1214838.653
218,603339.SH,2023-12-29,11.63,11.92,11.61,11.89,11.65,0.24,2.0601,25998.24,30676.641
219,002992.SZ,2023-12-29,75.0,78.2,74.5,78.0,75.11,2.89,3.8477,20921.18,161504.796
220,002063.SZ,2023-12-29,6.08,6.19,6.05,6.18,6.09,0.09,1.4778,219212.84,134418.067
